date,0P0000KU3M.F,LU1313770536
2021-06-25,275.92,8784.29
2021-06-28,275.41,8795.32
2021-06-29,276.13,8789.77
2021-06-30,274.9,8801.87
2021-07-01,276.61,8801.86
2021-07-02,277.3,8813.8
2021-07-05,277.18,8806.13
2021-07-06,278.16,8826.37
2021-07-07,279.83,8838.81
2021-07-08,275.56,8839.84
2021-07-09,277.54,8834.73
2021-07-12,279.08,8837.06
2021-07-13,279.35,8838.28
2021-07-14,,8847.64
2021-07-15,276.35,8852.85
2021-07-16,276.19,8859.68
2021-07-19,272.49,8865.23
2021-07-20,273.26,8871.12
2021-07-21,276.9,8868.91
2021-07-22,279.72,8881.59
2021-07-23,282.28,8882.38
2021-07-26,282.12,
2021-07-27,,8890.4
2021-07-28,283.97,8895.73
2021-07-29,283.85,8899.95
2021-07-30,284.28,8905.06
2021-08-02,286.64,8914.43
2021-08-03,286.81,8915.3
2021-08-04,288.38,8923.01
2021-08-05,290.5,8924.42
2021-08-06,290.46,8908.01
2021-08-09,290.36,8906.85
2021-08-10,290.2,8904.81
2021-08-11,290.62,8904.88
2021-08-12,291.38,8903.76
2021-08-13,291.68,8904.87
2021-08-16,290.46,8904.67
2021-08-17,290.69,8904.04
2021-08-18,290.47,8908.35
2021-08-19,287.48,8907.86
2021-08-20,288.61,8909.16
2021-08-23,290.45,8904.21
2021-08-24,290.2,8902.37
2021-08-25,289.94,8883.43
2021-08-26,289.41,8877.39
2021-08-27,290.45,8881.99
2021-08-30,291.93,8887.58
2021-08-31,291.45,8869.83
2021-09-01,293.94,8867.8
2021-09-02,294.16,8872.74
2021-09-03,292.14,8865.89
2021-09-06,293.68,8866.83
2021-09-07,293.61,8854.29
2021-09-08,291.61,8853.38
2021-09-09,292.12,8864.73
2021-09-10,291.52,8859.55
2021-09-13,290.38,8861.62
2021-09-14,291.26,8865.07
2021-09-15,288.56,8859.65
2021-09-16,289.44,8861.37
2021-09-17,288.02,8857.53
2021-09-20,285.0,8859.27
2021-09-21,288.62,8859.24
2021-09-22,289.62,8861.71
2021-09-23,291.35,8843.27
2021-09-24,288.32,8821.69
2021-09-27,285.44,8832.72
2021-09-28,278.95,8823.03
2021-09-29,279.26,8827.0
2021-09-30,277.98,8823.46
2021-10-01,276.87,8827.35
2021-10-04,274.44,8822.63
2021-10-05,275.72,8813.2
2021-10-06,273.23,8802.94
2021-10-07,275.92,8808.91
2021-10-08,274.12,8798.51
2021-10-11,273.86,8783.06
